mp_id,formula,band_gap_mp,formation_energy_per_atom_mp,energy_above_hull_mp,is_stable_mp,cbm_mp,vbm_mp,efermi_mp,has_band_edges_mp
mp-1008677,TiO2,1.0553,-3.1997306077777785,0.30832484416666617,False,6.584,5.5287,5.73989948,True
mp-1017539,ZnO,0.4516000000000001,-1.4906765199999996,0.30022259249999994,False,1.2834,0.8318,1.04224225,True
mp-1018721,HfO2,4.667800000000001,-3.968927069166663,0.050883971666667804,False,7.9537,3.2859,3.35468484,True
mp-1021522,VO2,0.9384999999999999,-2.447055623750001,0.07541255291665117,False,3.9573,3.0188,3.02787606,True
mp-1040910,VO2,0.9116000000000002,-2.3172104774999998,0.20525769916665304,False,2.866,1.9544,1.98750271,True
mp-1041565,TiO2,1.7794999999999996,-3.464407361944444,0.043648089999999584,False,4.9868,3.2073,3.38765218,True
mp-1041584,SnO2,0.6483999999999996,-2.107117699166666,0.0003643058333340221,False,6.1528,5.5044,5.57303978,True
mp-1041984,SnO2,1.9959000000000002,-1.9454555183333326,0.16202648666666697,False,4.4267,2.4308,2.47242978,True
mp-1044721,SnO2,1.5957999999999997,-1.9500562008333329,0.1574258041666674,False,5.8469,4.2511,4.35436791,True
mp-1044853,TiO2,1.8458,-3.3302707666666658,0.17778468527777846,False,3.0636,1.2178,1.32852794,True
mp-1047381,SnO2,0.4179000000000004,-1.8026035566666667,0.30487844833333355,False,4.3604,3.9425,4.08027389,True
mp-1047618,VO2,0.0,-2.3265187116666675,0.19594946499998578,False,,,2.89655461,False
mp-1079207,TiO2,0.8879999999999999,-3.175238522222222,0.3328169297222221,False,7.0977,6.2097,6.31524626,True
mp-1093993,ZnO,0.7376,-1.7579994199999986,0.03289969250000091,False,1.3403,0.6027,0.69600495,True
mp-1094031,VO2,0.0,-2.5105721895833333,0.01189598708331907,False,,,3.97490823,False
mp-1100908,VO2,0.6480000000000001,-2.455371445000002,0.0670967316666502,False,3.9721,3.3241,3.52104256,True
mp-1101022,TiO2,2.0074,-3.4606675294444442,0.04738792250000046,False,3.5419,1.5345,1.53443389,True
mp-1101843,PbO2,0.0,-1.2430838708333323,0.0565631608333339,False,4.34333987,4.34333987,4.34333987,True
mp-1102255,TiO2,1.7550999999999997,-3.2104639794444445,0.2975914725000006,False,7.4449,5.6898,5.86947066,True
mp-1102359,PbO2,0.0,-1.1691148716666657,0.13053216000000045,False,5.18389022,5.18389022,5.18389022,True
mp-1102591,TiO2,1.3796,-3.2514716744444443,0.2565837774999995,False,5.8315,4.4519,4.57795496,True
mp-1102963,VO2,0.0,-2.4795113699999995,0.04295680666665369,False,,,4.49478597,False
mp-1172828,WO3,1.4645,-2.183259834375,0.007600772187499771,False,1.8836,0.4191,0.53283538,True
mp-1178787,VO2,1.2334166950852308,-2.43976171125,0.08270646541665272,False,3.237601159269983,2.0041844641847524,2.01213097,True
mp-1180019,PbO2,0.6955,-0.8579809205555549,0.4416661111111111,False,2.751,2.0555,2.05541555,True
mp-1188454,PbO2,0.038000000000000256,-0.5694930333333327,0.7301539983333329,False,3.4336,3.3956,3.39566804,True
mp-1190609,VO2,0.0,-2.4429669841666666,0.07950119249998622,False,,,2.88189117,False
mp-1190753,TiO2,2.078171214709214,-3.384136177361112,0.12391927458333285,False,6.50165077582084,4.423479561111626,4.4270086,True
mp-1191364,WO3,1.3975,-2.180178068333332,0.010682538229167093,False,1.7646,0.3671,1.76489077,True
mp-1197857,WO3,1.6735000000000002,-2.18104009125,0.009820515312499722,False,2.1099,0.4364,0.48780837,True
mp-1201727,TiO2,2.9027000000000003,-3.44146682423611,0.06658862770833451,False,4.5571,1.6544,4.55708125,True
mp-1224381,HfO2,3.7545,-3.934555099999997,0.08525594083333488,False,7.5048,3.7503,3.81397389,True
mp-1244883,HfO2,3.7691,-3.7904897104901956,0.2293213303431365,False,5.9577,2.1886,2.27127778,True
mp-1244885,HfO2,3.4783,-3.7653005874509797,0.2545104533823519,False,5.6978,2.2195,2.25940408,True
mp-1244894,SnO2,0.0,-1.325550128823529,0.7819318761764711,False,,,5.9641344,False
mp-1244906,WO3,1.9032999999999998,-1.79630521435,0.39455539221250113,False,1.6542,-0.2491,-0.21212629,True
mp-1244929,WO3,1.7942,-1.9590997796500005,0.23176082691250066,False,1.4096,-0.3846,-0.30666132,True
mp-1244935,SnO2,0.5225999999999997,-1.4231196193333326,0.6843623856666667,False,5.5965,5.0739,5.07389348,True
